Id_Tabla,Levdireccion,Levdirnum,Levpropietario,Levtelefono,Lev_Sticker,Levnombreestablecimiento,DistanciaEnMetros,Match
297,100%,100%,46%,0%,0%,54%,2,1
298,100%,100%,65%,0%,0%,53%,1,1
299,93%,94%,44%,0%,0%,100%,,1
300,100%,100%,42%,100%,0%,29%,30,1
301,88%,88%,0%,0%,0%,86%,20,1
302,100%,100%,52%,0%,0%,45%,,1
303,96%,94%,43%,0%,0%,43%,6,1
304,100%,100%,37%,0%,0%,56%,,1
305,100%,100%,50%,0%,0%,69%,30,1
306,91%,100%,51%,0%,0%,71%,39,1
307,100%,94%,51%,0%,0%,100%,23,1
308,96%,94%,51%,0%,0%,55%,8,1
309,92%,94%,39%,0%,0%,50%,25,1
310,93%,93%,41%,0%,0%,56%,10,1
311,100%,100%,52%,0%,0%,54%,,1
312,90%,100%,46%,0%,0%,72%,,1
313,100%,100%,44%,0%,0%,78%,8,1
314,90%,100%,57%,0%,0%,96%,,1
315,96%,100%,38%,0%,0%,44%,8,1
316,90%,100%,43%,0%,0%,57%,,1
317,96%,100%,40%,0%,0%,65%,,1
318,86%,93%,52%,0%,0%,100%,11,1
319,100%,100%,60%,0%,0%,90%,,1
320,96%,88%,45%,0%,0%,55%,,1
321,94%,94%,47%,0%,0%,46%,44,1
322,96%,94%,47%,0%,0%,57%,,1
323,96%,100%,0%,0%,0%,3%,18,1
324,100%,100%,43%,0%,0%,53%,,1
325,76%,94%,51%,0%,0%,87%,20,1
326,100%,93%,48%,0%,0%,41%,30,1
327,85%,94%,47%,0%,0%,70%,2,1
328,100%,100%,53%,0%,0%,97%,,1
329,100%,93%,46%,0%,0%,41%,39,1
330,95%,100%,62%,0%,0%,61%,,1
331,93%,100%,48%,0%,0%,50%,4,1
332,84%,93%,47%,0%,0%,37%,,1
333,68%,77%,55%,0%,0%,78%,13,1
334,97%,93%,47%,0%,0%,43%,13,1
335,97%,94%,63%,0%,0%,52%,21,1
336,80%,89%,51%,0%,0%,87%,13,1
337,54%,56%,44%,0%,0%,98%,43,1
338,96%,100%,50%,0%,0%,41%,5,1
339,70%,62%,45%,0%,0%,60%,3,1
340,100%,100%,49%,0%,0%,100%,9,1
341,100%,100%,50%,0%,0%,84%,1,1
342,97%,94%,45%,0%,0%,56%,15,1
343,82%,100%,47%,0%,0%,75%,,1
344,93%,93%,54%,0%,0%,59%,,1
345,91%,88%,57%,0%,0%,73%,5,1
346,91%,94%,47%,0%,0%,47%,7,1
347,100%,93%,47%,0%,0%,41%,6,1
348,93%,93%,59%,0%,0%,0%,29,1
349,96%,100%,40%,0%,0%,79%,4,1
350,95%,93%,34%,0%,0%,69%,,1
351,69%,80%,53%,0%,0%,75%,17,1
352,97%,94%,41%,0%,0%,67%,1,1
353,73%,100%,42%,0%,0%,59%,6,1
354,100%,93%,45%,0%,0%,42%,14,1
355,84%,88%,48%,0%,0%,78%,24,1
356,100%,100%,40%,0%,0%,62%,,1
357,67%,78%,54%,0%,0%,75%,7,1
358,100%,100%,52%,0%,0%,77%,1,1
359,82%,89%,41%,0%,0%,47%,34,1
360,100%,100%,50%,0%,0%,74%,6,1
361,96%,94%,53%,0%,0%,39%,,1
362,93%,100%,47%,0%,0%,48%,44,1
363,100%,100%,39%,0%,0%,45%,1,1
364,100%,100%,39%,0%,0%,44%,28,1
365,62%,64%,41%,0%,100%,100%,17,1
366,88%,88%,43%,0%,0%,72%,,1
367,81%,88%,44%,0%,0%,30%,24,1
368,96%,100%,47%,0%,0%,69%,41,1
369,86%,100%,49%,0%,0%,55%,18,1
370,97%,90%,39%,0%,0%,36%,,1
371,76%,83%,43%,0%,0%,63%,26,1
372,80%,89%,43%,0%,0%,100%,7,1
373,91%,100%,48%,0%,0%,100%,10,1
374,90%,88%,52%,0%,0%,49%,29,1
375,97%,94%,60%,0%,0%,47%,18,1
376,96%,94%,39%,0%,0%,38%,10,1
377,68%,63%,50%,0%,0%,37%,24,1
378,100%,100%,52%,0%,0%,77%,,1
379,96%,92%,49%,0%,100%,100%,1,1
380,64%,64%,54%,0%,0%,100%,25,1
381,88%,93%,50%,0%,0%,42%,12,1
382,95%,85%,53%,0%,0%,100%,43,1
383,79%,88%,44%,0%,0%,100%,3,1
384,95%,87%,59%,100%,0%,89%,43,1
385,100%,92%,46%,0%,100%,71%,23,1
386,100%,100%,49%,0%,0%,33%,17,1
387,87%,93%,57%,0%,0%,100%,1,1
388,87%,92%,45%,0%,0%,56%,1,1
389,74%,59%,45%,0%,0%,92%,10,1
390,85%,88%,44%,0%,0%,33%,,1
391,81%,85%,37%,0%,0%,58%,28,1
392,96%,100%,60%,0%,0%,50%,,1
393,97%,96%,57%,0%,0%,41%,,1
394,69%,78%,61%,0%,0%,100%,,1
395,95%,94%,52%,0%,0%,97%,2,1
396,100%,100%,65%,0%,0%,100%,,1
397,97%,94%,49%,0%,0%,64%,29,1
398,100%,100%,53%,0%,0%,38%,30,1
399,100%,100%,67%,0%,0%,46%,,1
400,97%,93%,78%,0%,0%,53%,,1
401,84%,100%,68%,0%,0%,47%,4,1
402,97%,94%,59%,0%,0%,100%,31,1
403,92%,94%,46%,0%,0%,40%,2,1
404,82%,93%,34%,0%,0%,45%,27,1
405,94%,100%,50%,0%,0%,50%,23,1
406,92%,100%,51%,0%,0%,53%,26,1
407,100%,100%,63%,0%,0%,33%,,1
408,97%,93%,52%,0%,0%,0%,7,1
409,90%,75%,60%,0%,0%,50%,16,1
410,80%,100%,62%,0%,0%,56%,1,1
411,100%,100%,42%,0%,0%,56%,7,1
412,94%,91%,43%,0%,0%,44%,,1
413,78%,86%,55%,0%,0%,58%,25,1
414,100%,93%,49%,0%,0%,100%,,1
415,88%,91%,41%,0%,0%,100%,20,1
416,91%,94%,43%,0%,0%,53%,13,1
417,86%,93%,59%,0%,0%,100%,,1
418,96%,93%,83%,0%,0%,100%,29,1
419,60%,100%,59%,0%,0%,42%,,1
420,85%,88%,44%,0%,0%,85%,,1
421,95%,87%,58%,0%,0%,58%,3,1
422,64%,70%,100%,0%,0%,6%,23,1
423,68%,60%,48%,0%,0%,77%,30,1
424,96%,92%,52%,0%,0%,31%,5,1
425,100%,100%,52%,0%,0%,52%,16,1
426,65%,64%,48%,0%,0%,88%,26,1
427,100%,100%,81%,0%,0%,45%,,1
428,100%,100%,39%,0%,0%,42%,5,1
429,85%,88%,50%,100%,0%,69%,34,1
430,94%,88%,46%,0%,0%,68%,39,1
431,81%,83%,65%,0%,0%,86%,4,1
432,100%,100%,45%,0%,100%,100%,1,1
433,90%,100%,51%,0%,0%,95%,7,1
434,93%,100%,55%,0%,0%,97%,7,1
435,100%,100%,35%,0%,0%,100%,6,1
436,93%,100%,49%,0%,0%,91%,,1
437,87%,100%,56%,0%,0%,67%,,1
438,91%,92%,56%,0%,0%,88%,13,1
439,90%,86%,38%,0%,0%,80%,8,1
440,100%,100%,45%,0%,0%,60%,,1
441,100%,89%,56%,0%,0%,40%,1,1
442,97%,87%,50%,0%,0%,48%,33,1
443,100%,100%,46%,0%,0%,87%,5,1
444,96%,86%,44%,0%,0%,57%,,1
445,92%,94%,59%,0%,0%,52%,,1
446,94%,100%,26%,0%,0%,53%,,1
447,96%,94%,45%,0%,0%,53%,12,1
448,85%,84%,46%,0%,0%,100%,13,1
449,100%,100%,56%,0%,0%,26%,,1
450,85%,100%,61%,0%,0%,60%,8,1
451,90%,77%,47%,0%,0%,68%,28,1
452,100%,93%,55%,0%,0%,70%,,1
453,68%,67%,64%,100%,100%,83%,11,1
454,59%,59%,63%,0%,0%,88%,1,1
455,88%,87%,53%,0%,100%,90%,13,1
456,72%,88%,82%,0%,0%,100%,24,1
457,93%,93%,52%,0%,100%,46%,,1
458,73%,88%,52%,0%,0%,100%,15,1
459,92%,94%,54%,0%,0%,63%,1,1
460,100%,100%,50%,0%,0%,42%,11,1
461,81%,100%,47%,0%,0%,100%,4,1
462,86%,91%,52%,0%,0%,100%,38,1
463,95%,88%,49%,0%,0%,50%,,1
464,96%,100%,55%,0%,0%,92%,,1
